,p1,p36,p37,p2a,weekday(p2a),p2b,p6,p7,p8,p9,p10,p11,p12,p13a,p13b,p13c,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p27,p28,p34,p35,p39,p44,p45a,p47,p48a,p49,p50a,p50b,p51,p52,p53,p55a,p57,p58,a,b,d,e,f,g,h,i,j,k,l,n,o,p,q,r,s,t,p5a,region
30,2100160031,6,,2016-01-01,5,1950,3,0,3,2,1,9,511,0,0,0,1100,2.0,1.0,1.0,1.0,4.0,1.0,1,1,0,0,0,1,1,0,,3,31.0,12,1.0,0.0,2.0,1.0,1.0,5.0,1100,2.0,5.0,1.0,,,"-745192,626","-1046127,483","-745196,831","-1046131,870",PRAHA5Radlice,KUTVIRTOVA,,mÌstnÌkomunikace,,,,,,,,,1,PHA
31,2100160032,5,,2016-01-01,5,1715,4,0,0,1,1,0,508,0,0,1,0,2.0,1.0,1.0,1.0,4.0,1.0,0,1,3,3,1,5,1,10,,17,,XX,,,,,,,0,,,,,,"-743382,747","-1043228,617","-743383,382","-1043228,287",PRAHA1-StarÈMÏsto,Smetanovon·b¯.,,mÌstnÌkomunikace,,275927.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,469564.0,GN_V0.1UIR-ADR_410,1,PHA
32,2100160033,4,,2016-01-01,5,1945,1,4,0,2,1,2,503,0,0,0,1200,2.0,3.0,1.0,1.0,4.0,1.0,0,1,3,3,0,6,2,19,,3,39.0,14,3.0,0.0,1.0,0.0,1.0,68.0,800,2.0,1.0,1.0,,,"-739371,500","-1047558,830","-739371,630","-1047558,950",PRAHA4MICHLE,CHODOVSK¡,,sledovan·komunikace,,,,,,,,,1,PHA
33,2100160034,4,,2016-01-02,6,600,3,0,3,2,1,2,508,0,0,0,120,1.0,1.0,1.0,1.0,4.0,1.0,0,1,2,0,0,4,1,19,,3,39.0,09,1.0,0.0,1.0,0.0,1.0,31.0,100,2.0,1.0,1.0,,,"-743203,860","-1042837,480","-743199,890","-1042838,880",PRAHA1,KÿÕéOVNICK¡,,sledovan·komunikace,,,,,,,,,1,PHA
34,2100160035,5,,2016-01-02,6,910,2,0,0,2,1,2,204,0,0,0,1500,2.0,3.0,1.0,1.0,1.0,1.0,2,1,0,0,0,2,2,0,,3,31.0,10,1.0,1.0,1.0,0.0,1.0,3.0,700,2.0,1.0,1.0,,,"-740903,900","-1045992,020","-740901,490","-1045988,140",PRAHA10VRäOVICE,PETROHRADSK¡,,sledovan·komunikace,,,,,,,,,1,PHA
35,2100160036,6,,2016-01-01,5,2560,2,0,0,2,1,0,516,0,0,0,100,2.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-732505,000","-1042388,360","-732507,900","-1042390,330",PRAHA9»ERN›MOST,BOJ»ENKOVA,,mÌstnÌkomunikace,,,,,,,,,1,PHA
36,2100160037,6,,2016-01-01,5,2560,2,0,0,2,1,0,516,0,0,0,500,2.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-738818,619","-1039025,442","-738818,906","-1039024,075",PRAHA8Kobylisy,KYSELOVA,,mÌstnÌkomunikace,,,,,,,,,1,PHA
37,2100160038,5,,2016-01-02,6,1140,1,4,0,2,1,2,503,0,0,0,500,2.0,3.0,1.0,1.0,1.0,1.0,2,1,0,0,0,1,2,0,,3,13.0,04,1.0,0.0,1.0,0.0,1.0,1.0,200,3.0,1.0,1.0,,,"-731647,250","-1050014,510","-731647,150","-1050014,440",PRAHA10-UHÿÕNÃVES,Pÿ¡TELSTVÕ,,sledovan·komunikace,,,,,,,,,1,PHA
38,2100160039,8,,2016-01-02,6,2560,2,0,0,2,1,0,516,0,0,0,10,2.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,10,1,2,0,,17,,XX,,,,,,,0,,,,,,"-742243,910","-1042716,550","-742243,940","-1042716,400",PRAHA1NOV…MÃSTO,SOUKENICK¡,,mÌstnÌkomunikace,,,,,,,,,1,PHA
39,2100160040,5,,2016-01-02,6,1245,3,0,2,2,1,2,204,0,0,0,500,2.0,3.0,1.0,1.0,1.0,1.0,2,1,0,0,0,1,1,0,,3,25.0,96,1.0,1.0,1.0,0.0,1.0,1.0,300,3.0,1.0,1.0,,,"-744406,460","-1044342,350","-744406,040","-1044342,800",PRAHA5SMÕCHOV,KARTOUZSK¡,,mÌstnÌkomunikace,,,,,,,,,1,PHA
40,2100160041,5,,2016-01-02,6,1400,1,4,0,2,1,2,503,0,0,0,1100,2.0,3.0,1.0,1.0,1.0,1.0,2,1,0,0,0,1,3,0,,3,17.0,15,1.0,0.0,0.0,0.0,1.0,3.0,800,2.0,1.0,1.0,,,"-732922,480","-1048440,560","-732924,020","-1048441,850",PRAHA10,Pÿ¡TELSTVÕ,,sledovan·komunikace,,,,,,,,,1,PHA
41,2100160042,8,,2016-01-02,6,2560,2,0,0,2,1,0,516,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,10,1,2,0,,17,,XX,,,,,,,0,,,,,,"-750940,260","-1043222,250","-750940,260","-1043222,250",PRAHA6ÿEPY,SL¡NSK¡,,mÌstnÌkomunikace,,,,,,,,,1,PHA
42,2100160043,5,,2016-01-02,6,1450,1,2,0,2,1,2,205,0,0,0,700,2.0,3.0,1.0,1.0,1.0,1.0,2,1,0,0,0,3,2,0,,3,26.0,08,1.0,0.0,0.0,0.0,1.0,3.0,400,2.0,1.0,1.0,,,"-737369,600","-1036956,420","-737369,630","-1036956,160",PRAHA8,UPARK¡NU,,sledovan·komunikace,,,,,,,,,1,PHA
